,Landmark Name,Category,Province & District,GPS Coordinates,Description,History,Built By / Founder,Year Built / Historical Period,Cultural/Religious Significance,Main Attractions,Opening Hours,Average Visit Duration:,Ticket Price (Foreign),Best Time to Visit,Nearby Attractions,Nearby Hotels,Nearby Restaurants, 
329,Muhudu Maha Viharaya,Temple / Archaeological Site,Eastern Province – Ampara District,"6.8500° N, 81.8333° E","Muhudu Maha Viharaya is an ancient Buddhist temple located near Pottuvil on the eastern coast of Sri Lanka. Situated close to the ocean, the temple is known for its ancient ruins, Buddha statues, and historical significance.","Muhudu Maha Viharaya is believed to have been established during the reign of King Kavantissa (205–161 BCE). According to tradition, it is connected with Queen Viharamahadevi, who was said to have landed on the eastern coast after being sent away by sea. Archaeological remains indicate that the site was once an important Buddhist monastery and maritime religious center.",Ancient Buddhist rulers,Around 2nd century BC,Ancient Buddhist temple located near the eastern coast.,"Ancient statues, ruins, stupa remains, ocean views.",7:00 AM – 6:00 PM,1 hour,Free / Donation,May–September; morning,"Arugam Bay, Pottuvil Lagoon, Panama, Okanda, Kumana","Jetwing Surf, Blue Wave Hotel, Kottukal Beach House, Stardust Beach Hotel, local lodges","Gecko Restaurant, Hideaway Resort, Siam View, seafood restaurants, cafes",
330,Pottuvil Lagoon,Lagoon / Wetland,Eastern Province – Ampara District,"6.8667° N, 81.8333° E","Pottuvil Lagoon is a beautiful coastal lagoon located near Arugam Bay, famous for its mangrove forests, wildlife, and peaceful boat excursions. It provides habitat for birds, reptiles, and aquatic species.","Pottuvil Lagoon has supported local fishing and farming communities for centuries due to its rich natural resources. The lagoon's connection with ancient coastal settlements and nearby archaeological sites reflects the long relationship between people and the eastern shoreline. Today, it is an important eco-tourism destination known for biodiversity and scenic beauty.",Natural lagoon system,Natural formation,"Important wetland ecosystem supporting birds, fishing and eco-tourism.","Lagoon safari, mangroves, crocodiles, birds, sunsets.",6:00 AM – 6:00 PM,2–3 hours,Boat fees apply,May–September; morning/evening,"Arugam Bay, Muhudu Maha Viharaya, Whisky Point, Elephant Rock, Panama","Jetwing Surf, Blue Wave Hotel, Kottukal Beach House, Stardust Beach Hotel, Arugam Bay resorts","Gecko Restaurant, Hideaway Resort, Siam View, seafood restaurants, local cafes",
331,Batticaloa Lagoon,Lagoon / Wetland,Eastern Province – Batticaloa District,"7.7167° N, 81.7000° E","Batticaloa Lagoon is a large coastal lagoon in eastern Sri Lanka, renowned for its scenic landscapes, mangrove ecosystems, fishing communities, and unique natural phenomena such as the ""singing fish.""","Batticaloa Lagoon has played an important role in the region's economy and culture for centuries, supporting fishing, trade, and agriculture. During colonial periods, the lagoon was strategically important due to its waterways and coastal access. Today, it remains a vital ecological area and a major attraction in eastern Sri Lanka.",Natural lagoon system,Natural formation,"Important coastal ecosystem supporting fishing, birds and local culture.","Lagoon boat rides, mangroves, birds, fishing villages, sunsets.",6:00 AM – 6:00 PM,2–3 hours,Boat fees apply,April–September; morning/evening,"Batticaloa Fort, Kallady Bridge, Lighthouse, Pasikuda Beach, Kalkudah Beach","The Heritage Inn, Riviera Resort, Hotel East Lagoon, Aki Villa, Amaya Beach","Riviera Restaurant, Seafood restaurants, local Batticaloa restaurants, hotel restaurants, cafes",
332,Lady Manning Bridge,Bridge,Eastern Province – Batticaloa District,"7.7167° N, 81.7000° E","Lady Manning Bridge is a historic bridge located in Batticaloa, crossing the Batticaloa Lagoon. It is recognized as one of the oldest and most important bridges in the eastern region.","The bridge was constructed during the British colonial period and named after Lady Manning, the wife of Governor Sir William Manning. It played a significant role in improving transportation between Batticaloa town and surrounding areas. Over time, it became a landmark symbolizing the region's colonial engineering heritage.",British colonial administration,1924 AD,Historic colonial-era bridge connecting Batticaloa communities.,"Old bridge structure, lagoon views, photography, sunsets.",Open access,30 minutes,Free,April–September; evening,"Batticaloa Lagoon, Fort, Kallady Bridge, Lighthouse, Dutch Bay","The Heritage Inn, Riviera Resort, Hotel East Lagoon, Aki Villa, Amaya Beach","Local restaurants, seafood restaurants, hotel dining, cafes, food stalls",
333,China Bay,Bay / Coastal Attraction,Eastern Province – Trincomalee District,"8.5500° N, 81.2167° E","China Bay is a scenic coastal area located near Trincomalee, famous for its natural harbor, naval significance, and beautiful surroundings. It is one of the world's finest deep-water ports.","China Bay has been strategically important for centuries due to its location within Trincomalee's natural harbor. The area was used by various colonial powers, including the Portuguese, Dutch, and British, for naval operations and trade. Today, it remains an important maritime and aviation location while also being valued for its natural beauty.",Natural harbour area,Colonial and modern maritime period,Strategic naval harbour area with scenic coastal landscapes.,"Harbour views, beaches, aviation area, coastal scenery.",Open access (some areas restricted),1–2 hours,Free,May–September; morning,"Fort Frederick, Koneswaram Temple, Marble Beach, Trincomalee Harbour, Dutch Bay","Trinco Blu by Cinnamon, Amaranthe Bay, Jungle Beach Resort, Anantamaa Hotel, Aqua Hotel","Seafood restaurants, Nilaveli restaurants, hotel restaurants, beach cafes, local eateries",
334,Lovers Leap Trincomalee,Cliff / Viewpoint,Eastern Province – Trincomalee District,"8.5667° N, 81.2333° E","Lovers Leap is a dramatic cliff located near Fort Frederick in Trincomalee, offering spectacular views of the Indian Ocean. It is one of the most famous viewpoints in the city.","Lovers Leap is associated with a local legend about the tragic story of a young woman who is said to have jumped from the cliff after losing her love. The location has also been historically important due to its proximity to the ancient Koneswaram Temple and colonial fortifications. Today, it remains a popular sightseeing attraction combining natural beauty and folklore.",Natural cliff formation,Natural formation,Famous scenic cliff associated with local legends and coastal heritage.,"Ocean views, cliff edge, Koneswaram surroundings, photography.",6:00 AM – 6:00 PM,1 hour,Included with temple visit,May–September; sunrise/sunset,"Koneswaram Temple, Fort Frederick, Dutch Bay, Marble Beach, Trincomalee Harbour","Trinco Blu by Cinnamon, Amaranthe Bay, Jungle Beach Resort, Anantamaa Hotel, Aqua Hotel","Seafood restaurants, Nilaveli cafes, hotel restaurants, local restaurants, beach dining",
335,Fort Hammenheil,Fort / Historical Site,Northern Province – Jaffna District,"9.6500° N, 79.9500° E","Fort Hammenheil is a small historic fort located on Hammenheil Island near Jaffna. Built with strong coral and stone walls, it reflects the military architecture of Sri Lanka's colonial period.","Fort Hammenheil was constructed by the Portuguese in the 17th century and later occupied by the Dutch and British. Due to its isolated island location, it was used as a military defense post and later as a prison facility. Today, the restored fort functions as a heritage site and provides visitors with insight into Sri Lanka's colonial maritime history.",Portuguese; expanded by Dutch,17th century,Colonial island fort representing European maritime history.,"Fort ruins, island views, historic buildings, sea surroundings.",Day visits by arrangement,2–3 hours,Varies by package,May–September; morning,"Jaffna Fort, Delft Island, Nagadeepa, Kayts Island, Casuarina Beach","Jetwing Jaffna, The Thinnai, North Gate Hotel, Tilko Jaffna City Hotel, Valampuri Hotel","Malayan Cafe, Mangoes, Cosy Restaurant, Jaffna restaurants, seafood restaurants",
336,Delft Wild Horses Area,Wildlife Area / Natural Attraction,Northern Province – Jaffna District,"9.5167° N, 79.6833° E","Delft Wild Horses Area is a unique natural attraction on Delft Island (Neduntheevu), famous for its population of free-roaming wild horses. The horses, along with the island's coral walls and open landscapes, create a distinctive environment unlike anywhere else in Sri Lanka.","The wild horses of Delft Island are believed to have descended from horses introduced by Portuguese and later Dutch colonial settlers during the 17th century. After colonial rule ended, many horses became free-ranging and adapted to the island's dry climate and grasslands. Today, they are considered an important part of Delft's cultural and natural heritage.",Introduced by Portuguese/Dutch,Colonial period,Unique heritage population of wild horses on Delft Island.,"Wild horses, coral walls, baobab tree, island landscapes.",7:00 AM – 5:00 PM,Full day,Ferry + transport fees,January–September; morning,"Delft Fort, Delft Island, Nagadeepa, Jaffna Fort, Kayts Island","Jetwing Jaffna, The Thinnai, North Gate Hotel, Tilko Jaffna City Hotel, Valampuri Hotel","Jaffna restaurants, island cafes, seafood stalls, local eateries, hotel restaurants",
337,Jaffna Lagoon,Lagoon / Wetland,Northern Province – Jaffna District,"9.6500° N, 80.0000° E","Jaffna Lagoon is a large shallow coastal lagoon surrounding parts of the Jaffna Peninsula. It is known for its mangroves, fishing communities, migratory birds, and important coastal ecosystems.","Jaffna Lagoon has supported human settlements for centuries through fishing, salt production, and maritime activities. Due to its strategic location near the Palk Strait, the lagoon area played a role in regional trade and colonial maritime activities. Today, it remains an important environmental and economic resource for northern Sri Lanka.",Natural lagoon system,Natural formation,Important northern wetland supporting fisheries and coastal biodiversity.,"Bird watching, sunsets, fishing villages, lagoon views.",Open access,1–2 hours,Free,January–September; evening,"Jaffna Fort, Library, Delft Island, Nallur Temple, Nagadeepa","Jetwing Jaffna, The Thinnai, North Gate Hotel, Tilko Jaffna City Hotel, Valampuri Hotel","Malayan Cafe, Mangoes, Cosy Restaurant, local seafood restaurants, cafes",
338,Sangiliyan Statue,Monument / Statue,Northern Province – Jaffna District,"9.6667° N, 80.0000° E","Sangiliyan Statue is a monument dedicated to King Cankili II (Sangiliyan), the last ruler of the Jaffna Kingdom. Located in Jaffna, it represents the historical identity and Tamil heritage of the northern region.",Sangiliyan ruled the Jaffna Kingdom during the early 17th century before Portuguese forces captured the kingdom in 1619. His resistance against Portuguese expansion made him an important historical figure. The statue was erected to commemorate his role in the history of Jaffna and remains a cultural landmark in the city.,Erected in memory of King Cankili II,Modern monument,Symbol of Tamil royal heritage and Jaffna history.,"Statue, photography, cultural landmark.",Open access,20–30 minutes,Free,January–September; evening,"Nallur Temple, Jaffna Library, Fort, Clock Tower, Market area","Jetwing Jaffna, The Thinnai, North Gate Hotel, Tilko Jaffna City Hotel, Valampuri Hotel","Malayan Cafe, Mangoes, Cosy Restaurant, Jaffna restaurants, cafes",
339,Kayts Causeway,Bridge / Causeway,Northern Province – Jaffna District,"9.6167° N, 79.9500° E","Kayts Causeway is a road connection linking Kayts Island with the Jaffna Peninsula. It provides access to the island while offering scenic views of lagoons, islands, and coastal landscapes.","The causeway was developed during the colonial period to improve transportation between the islands and mainland Jaffna. Due to Kayts' strategic location, the area was historically important for maritime trade and defense activities under Portuguese, Dutch, and British rule. Today, it remains an important transport route and scenic attraction.",British colonial road development,Colonial period,Historic roadway connecting islands and mainland Jaffna.,"Sea views, fishing areas, sunsets, photography.",Open access,30–60 minutes,Free,January–September; sunset,"Kayts Island, Nagadeepa, Casuarina Beach, Delft Island, Jaffna Fort","Jetwing Jaffna, The Thinnai, North Gate Hotel, Tilko Jaffna City Hotel, Valampuri Hotel","Jaffna restaurants, seafood restaurants, cafes, local eateries, hotel restaurants",
340,Vidataltivu Nature Reserve,Nature Reserve / Wetland,Northern Province – Mannar District,"8.8000° N, 79.9500° E","Vidataltivu Nature Reserve is a protected coastal wetland located in the Mannar District. It is known for mangrove habitats, seagrass beds, marine biodiversity, and important bird habitats.","Vidataltivu was declared a nature reserve to protect one of Sri Lanka's valuable coastal ecosystems. The area has historically supported fishing communities and traditional marine activities. Today, it plays an important role in conserving biodiversity, including migratory birds, marine species, and coastal habitats.",Department of Wildlife Conservation,Declared reserve 2016,Important marine and coastal wetland habitat.,"Mangroves, birds, lagoons, marine biodiversity.",6:00 AM – 6:00 PM,2–4 hours,Free / Guide fees,December–April; morning,"Mannar Island, Giant’s Tank, Madhu Church, Wilpattu, Arippu Fort","Hotel Agape Mannar, Palmyrah House, Pearl Rest, Mannar guesthouses, local hotels","Mannar seafood restaurants, local cafes, hotel restaurants, village eateries, food stalls",
341,Giant's Tank Bird Area,Bird Sanctuary / Wetland,Northern Province – Mannar District,"8.9167° N, 80.1000° E","Giant's Tank Bird Area is a major wetland habitat near Mannar, famous for attracting large numbers of migratory and resident birds. It is one of Sri Lanka's most important birdwatching locations.","The wetland developed around the ancient Giant's Tank (Yoda Wewa), an irrigation reservoir believed to have been expanded during the Anuradhapura Period. For centuries, the reservoir supported agriculture while creating a rich habitat for wildlife. Today, the area is internationally valued for bird conservation and wetland biodiversity.",Ancient irrigation reservoir,Ancient period,Important wetland supporting migratory bird populations.,"Bird watching, wetlands, wildlife photography.",6:00 AM – 6:00 PM,2–3 hours,Free,December–April; morning,"Giant’s Tank, Mannar Island, Wilpattu, Madhu Church, Arippu Fort","Hotel Agape, Palmyrah House, Pearl Rest, Mannar hotels, guesthouses","Mannar seafood restaurants, local cafes, hotel restaurants, village food outlets",
342,Mihindu Cave,Cave / Religious Site,North Central Province – Anuradhapura District,"8.3500° N, 80.5167° E","Mihindu Cave is a historic cave site associated with Buddhist traditions near Mihintale, the birthplace of Buddhism in Sri Lanka. It is connected with meditation practices and ancient monastic life.","Mihindu Cave is traditionally linked to Arahat Mahinda Thera, who introduced Buddhism to Sri Lanka during the reign of King Devanampiya Tissa (307–267 BCE). The cave was believed to have been used as a place of residence and meditation by Buddhist monks. It remains an important spiritual location within the Mihintale sacred complex.",Ancient Buddhist monks,Ancient Anuradhapura period,Cave associated with Arahant Mahinda and early Buddhism in Sri Lanka.,"Cave shrine, rock inscriptions, meditation area.",7:00 AM – 6:00 PM,1 hour,Heritage ticket / Donation,January–April; morning,"Mihintale, Anuradhapura, Kantaka Cetiya, Kaludiya Pokuna, Rajagiri Lena","Heritage Hotel Anuradhapura, Avasta Resort, Rajarata Hotel, Miridiya Lake Resort, Ulagalla Resort","Seedevi Restaurant, Casserole Restaurant, Mango Mango, local restaurants, hotel dining",
343,Kantaka Cetiya,Stupa / Archaeological Site,North Central Province – Anuradhapura District,"8.3500° N, 80.5167° E","Kantaka Cetiya is an ancient stupa located at Mihintale, one of Sri Lanka's most sacred Buddhist sites. It is admired for its early architectural features, stone carvings, and historical importance.","Kantaka Cetiya is believed to date back to the early Anuradhapura Period, possibly before the arrival of Buddhism or shortly afterward. The stupa was later associated with the Buddhist monastic community established at Mihintale. Its decorative stone carvings, including guardian figures and animal motifs, represent some of the earliest examples of Sri Lankan Buddhist art.",King Devanampiya Tissa tradition,3rd century BC,"Ancient Buddhist stupa at Mihintale, one of Sri Lanka’s earliest religious monuments.","Ancient stupa, stone carvings, elephant friezes, ruins.",7:00 AM – 6:00 PM,1 hour,Included in Mihintale ticket,January–April; morning,"Mihintale, Mihindu Cave, Kaludiya Pokuna, Anuradhapura ruins, Abhayagiri","Heritage Hotel Anuradhapura, Avasta Resort, Rajarata Hotel, Miridiya Lake Resort, Ulagalla Resort","Seedevi Restaurant, Casserole Restaurant, Mango Mango, cafes, hotel restaurants",
344,Nachchaduwa Reservoir,Reservoir / Ancient Irrigation Site,North Central Province – Anuradhapura District,"8.2500° N, 80.4333° E","Nachchaduwa Reservoir is an ancient irrigation tank located near Anuradhapura. It is valued for agriculture, water management, scenic beauty, and its role in supporting local wildlife.","Nachchaduwa Reservoir was constructed during the Anuradhapura Period as part of Sri Lanka's advanced ancient irrigation system. Built to collect and distribute water for farming, it reflects the engineering skills of ancient Sri Lankan civilizations. The reservoir continues to serve agricultural communities while maintaining its historical importance.",King Mahanama tradition,Ancient irrigation period,Historic tank supporting agriculture and local ecosystems.,"Reservoir views, birds, sunsets, village scenery.",Daylight hours,1–2 hours,Free,January–April; sunrise/sunset,"Anuradhapura Ancient City, Mihintale, Sri Maha Bodhi, Ruwanwelisaya, Wilpattu","Heritage Hotel Anuradhapura, Avasta Resort, Rajarata Hotel, Miridiya Lake Resort, Ulagalla Resort","Seedevi Restaurant, Casserole Restaurant, Mango Mango, local cafes, hotel restaurants",
345,Kala Wewa,Reservoir / Ancient Irrigation Site,North Central Province – Anuradhapura District,"8.0500° N, 80.5500° E","Kala Wewa is one of Sri Lanka's largest and most impressive ancient reservoirs, located near Anuradhapura. It is famous for its massive embankment, historic irrigation system, and the iconic Avukana Buddha Statue nearby.","Kala Wewa was built in the 5th century CE by King Dhatusena (455–473 CE) as part of his ambitious irrigation projects. The reservoir was connected to Anuradhapura through the ancient Jaya Ganga canal system, demonstrating remarkable hydraulic engineering. It continues to provide water for agriculture and remains one of the greatest achievements of Sri Lanka's ancient civilization.",King Dhatusena,5th century AD,One of Sri Lanka’s greatest ancient irrigation reservoirs.,"Giant reservoir, Avukana Buddha nearby, birds, scenic views.",6:00 AM – 6:00 PM,2–3 hours,Free,January–April; sunrise/sunset,"Avukana Buddha Statue, Aukana Kala Wewa, Anuradhapura, Yapahuwa, Wilpattu","Ulagalla Resort, Heritage Hotel Anuradhapura, Rajarata Hotel, Avasta Resort, local hotels","Anuradhapura restaurants, local cafes, hotel restaurants, village eateries, food stalls",
346,Tissa Wewa Anuradhapura,Reservoir / Ancient Irrigation Site,North Central Province – Anuradhapura District,"8.3333° N, 80.3833° E","Tissa Wewa is an ancient reservoir located near the sacred city of Anuradhapura. It is known for its scenic beauty, historic irrigation system, and importance in supporting the ancient capital's agriculture and water supply.","Tissa Wewa was constructed in the 3rd century BCE, traditionally attributed to King Devanampiya Tissa (307–267 BCE). The reservoir was built to provide water for the growing city of Anuradhapura and its surrounding agricultural lands. It represents the advanced hydraulic engineering skills of the ancient Sri Lankan civilization and continues to serve local communities today.",King Devanampiya Tissa,3rd century BC,Ancient irrigation reservoir supporting the sacred city of Anuradhapura.,"Lake views, birds, sunsets, ancient irrigation system.",Open access,1–2 hours,Free,January–April; sunrise/sunset,"Sri Maha Bodhi, Ruwanwelisaya, Isurumuniya, Mirisavetiya, Thuparamaya","Heritage Hotel Anuradhapura, Avasta Resort, Rajarata Hotel, Miridiya Lake Resort, Ulagalla Resort","Seedevi Restaurant, Casserole Restaurant, Mango Mango, local restaurants, hotel restaurants",
347,Nuwara Wewa,Reservoir / Ancient Irrigation Site,North Central Province – Anuradhapura District,"8.3667° N, 80.4000° E","Nuwara Wewa is one of the largest ancient reservoirs in Anuradhapura, located close to the ancient city. It is valued for irrigation, scenic landscapes, and its connection to Sri Lanka's hydraulic heritage.","Nuwara Wewa was constructed during the Anuradhapura Period, believed to have been built around the 1st century BCE. The reservoir played an important role in supplying water to the expanding kingdom and supporting agriculture. Over many centuries, it has been restored and maintained, continuing the tradition of Sri Lanka's ancient water management systems.",King Valagamba,1st century BC,Historic reservoir representing ancient Sri Lankan hydraulic engineering.,"Reservoir, bird watching, boat rides, sunsets.",6:00 AM – 6:00 PM,1–2 hours,Free / Boat fees apply,January–April; evening,"Anuradhapura Ancient City, Abhayagiri, Jetavanaramaya, Mihintale, Sri Maha Bodhi","Heritage Hotel Anuradhapura, Avasta Resort, Rajarata Hotel, Miridiya Lake Resort, Ulagalla Resort","Seedevi Restaurant, Casserole Restaurant, Mango Mango, hotel dining, local cafes",
348,Sasseruwa Buddha Statue,Religious Site / Statue,North Central Province – Anuradhapura District,"8.0833° N, 80.5167° E","Sasseruwa Buddha Statue is a magnificent rock-carved standing Buddha statue located near the ancient Ritigala region. It is admired for its impressive size, artistic details, and peaceful forest surroundings.","The Sasseruwa Buddha Statue is believed to have been created during the reign of King Valagamba (89–77 BCE) or during the early Anuradhapura Period. Local tradition connects it with the king's efforts to build Buddhist monuments after regaining his kingdom. Although unfinished in some areas, the statue represents the exceptional skills of ancient Sri Lankan sculptors.",King Dhatusena tradition,5th century AD,Ancient Buddhist rock statue associated with Sri Lankan Buddhist heritage.,"Rock-cut Buddha statue, cave temple, forest surroundings.",7:00 AM – 6:00 PM,1–2 hours,Free / Donation,January–April; morning,"Kala Wewa, Avukana Buddha, Aukana area, Yapahuwa, Anuradhapura","Ulagalla Resort, Heritage Hotel Anuradhapura, Rajarata Hotel, Avasta Resort, local guesthouses","Anuradhapura restaurants, local cafes, hotel restaurants, village eateries, food stalls",
349,Isinbassagala Rock Temple,Temple / Religious Site,North Central Province – Anuradhapura District,"8.3833° N, 80.4500° E","Isinbassagala Rock Temple is an ancient Buddhist temple located near Medawachchiya, built on a rocky hill with panoramic views of the surrounding landscape. It contains a stupa, Buddha statues, and ancient religious features.","According to tradition, Isinbassagala is associated with the arrival of Arahat Mahinda Thera, who introduced Buddhism to Sri Lanka during the reign of King Devanampiya Tissa. The temple has been an important place of Buddhist worship for centuries and contains archaeological evidence connected with early Buddhist traditions. Today, it remains a significant religious and historical site.",Ancient Buddhist tradition,Ancient period,Historic rock temple linked with early Buddhist worship.,"Rock shrine, Buddha statues, inscriptions, viewpoints.",7:00 AM – 6:00 PM,1 hour,Free / Donation,January–April; morning,"Mihintale, Anuradhapura, Ritigala, Kala Wewa, Aukana","Heritage Hotel Anuradhapura, Avasta Resort, Rajarata Hotel, Miridiya Lake Resort, Ulagalla Resort","Seedevi Restaurant, Casserole Restaurant, Mango Mango, local restaurants, hotel dining",
350,Padeniya Raja Maha Viharaya,Temple / Religious Site,North Western Province – Kurunegala District,"7.7500° N, 80.2500° E","Padeniya Raja Maha Viharaya is an ancient Buddhist temple in the Kurunegala District, famous for its beautifully carved wooden pillars, traditional architecture, and historical significance.","Padeniya Temple dates back to the Kandyan Period, although local traditions connect the site with earlier Buddhist settlements. The temple became especially known for its exceptional wood carvings created by skilled craftsmen. These artistic features provide valuable insight into the architectural and cultural achievements of Sri Lanka's medieval period.",Ancient Kandyan rulers,Ancient period; renovated later,Historic Buddhist temple famous for wooden architecture.,"Wooden carvings, ancient statues, temple paintings.",6:00 AM – 6:00 PM,1 hour,Free / Donation,January–April; morning,"Yapahuwa, Athugala, Kurunegala Lake, Dambadeniya, Ridigama","The Kandyan Manor, Kandyan Reach Hotel, Heritance Kandalama, local Kurunegala hotels, guesthouses","Kurunegala restaurants, local cafes, hotel restaurants, village eateries, food stalls",
351,Athugala Buddha Statue,Religious Site / Statue,North Western Province – Kurunegala District,"7.4867° N, 80.3647° E",Athugala Buddha Statue is a large white Buddha statue located on Athugala Rock overlooking Kurunegala city. It is one of the most recognizable landmarks in the region and offers panoramic views of the surrounding area.,"The Athugala Buddha Statue was constructed in the late 20th century as a symbol of Buddhist devotion and spiritual protection for the city. The statue stands on the historic Athugala Rock, which has long been associated with local legends and the ancient Kingdom of Kurunegala. Today, it is a popular religious and sightseeing destination.",Modern Buddhist construction,1990s AD,Major Buddhist landmark overlooking Kurunegala city.,"Giant Buddha statue, hilltop views, sunset scenery.",6:00 AM – 8:00 PM,1 hour,Free / Donation,January–April; sunset,"Kurunegala Lake, Ethagala Rock, Padeniya Temple, Yapahuwa, Dambadeniya","The Kandyan Manor, Kandyan Reach Hotel, local Kurunegala hotels, guesthouses, Kandy hotels","Kurunegala restaurants, local cafes, hotel restaurants, food courts, bakeries",
352,Maho Ancient Railway Area,Railway Heritage Site,North Western Province – Kurunegala District,"7.8167° N, 80.2667° E","Maho Ancient Railway Area is a historic railway location in the North Western Province, known for its connection to Sri Lanka's colonial railway development. It serves as an important railway junction linking northern and central regions.","The Maho railway area developed during the British colonial period when railways were expanded to connect agricultural regions and transport goods across the island. The junction became strategically important for travel between Colombo, the north, and the eastern regions. Today, it remains an important part of Sri Lanka's railway network while preserving its historical character.",British colonial railway administration,19th century,Historic railway location connecting cultural triangle routes.,"Colonial railway buildings, trains, photography.",Railway operating hours,30–60 minutes,Free,January–April; morning,"Yapahuwa, Sasseruwa, Anuradhapura, Kurunegala, Kala Wewa","Local Kurunegala hotels, Anuradhapura hotels, guesthouses, Ulagalla Resort, Heritage Hotel","Local restaurants, cafes, hotel restaurants, village eateries, food stalls",
353,Mini World's End Riverston,Viewpoint / Nature Site,Central Province – Matale District,"7.5333° N, 80.7500° E","Mini World's End is a dramatic cliff viewpoint located in the Riverston area of the Knuckles Mountain Range. It offers breathtaking views of valleys, mountains, forests, and mist-covered landscapes.","Mini World's End is part of the environmentally significant Knuckles Mountain Range, which has been protected for its unique biodiversity and natural beauty. The area has long been important to local communities for agriculture and traditional livelihoods. Today, it is a popular destination for hikers, nature lovers, and adventure travelers exploring Sri Lanka's central highlands.",Natural mountain viewpoint,Natural formation,Scenic mountain viewpoint in the Knuckles mountain region.,"Cliffs, valleys, hiking trails, misty landscapes.",7:00 AM – 5:00 PM,2–3 hours,Approx. USD 5–10,January–April; morning,"Riverston Peak, Pitawala Pathana, Knuckles Range, Sera Ella, Bambarakiri Ella","Riverston Holiday Home, The Grand Mountain, Elkaduwa hotels, Kandy hotels, eco lodges","Riverston restaurants, Matale restaurants, local cafes, hotel restaurants, village eateries",
354,Hunnasgiriya Mountain,Mountain,Central Province – Kandy District,"7.3167° N, 80.7667° E","Hunnasgiriya Mountain is a scenic peak located in the Knuckles Mountain Range, known for its distinctive shape, lush forests, and panoramic views of the surrounding highlands.","Hunnasgiriya has historically been part of the natural landscape of the central highlands, supporting rich biodiversity and traditional mountain communities. The mountain gained popularity with the development of tourism in the Knuckles region. Today, it is recognized as an important destination for trekking, photography, and nature exploration.",Natural mountain formation,Geological formation,Scenic peak forming part of the Knuckles mountain landscape.,"Hiking, mountain views, forests, photography.",Daylight hours,3–5 hours,Free / Guide fees,January–April; morning,"Knuckles Range, Riverston, Meemure, Sembuwatta Lake, Corbett’s Gap","The Grand Mountain, Riverston lodges, Amaya Hills, Kandy hotels, eco lodges","Matale restaurants, Kandy restaurants, cafes, hotel dining, local eateries",
355,Corbett's Gap,Mountain Pass / Viewpoint,Central Province – Matale District,"7.5333° N, 80.8000° E","Corbett's Gap is a famous mountain pass and viewpoint in the Knuckles Mountain Range, offering spectacular views of valleys, peaks, and mist-covered landscapes. It is named after British surveyor and explorer Colonel Corbett.","Corbett's Gap was identified during British colonial surveys of Sri Lanka's central mountains and became known for its strategic location and dramatic scenery. The area forms part of the Knuckles Conservation Forest, which protects one of Sri Lanka's most valuable ecosystems. Today, it is a popular stop for travelers exploring the mountain trails and natural beauty of the region.",Named after British surveyor Corbett,Colonial period,Famous mountain pass viewpoint in Knuckles region.,"Panoramic views, valleys, clouds, trekking routes.",Daylight hours,1–2 hours,Free,January–April; morning,"Knuckles Range, Meemure, Riverston, Hunnasgiriya, Sera Ella","Riverston lodges, eco resorts, Kandy hotels, Matale hotels, guesthouses","Matale restaurants, Kandy cafes, local eateries, hotel restaurants, village food stalls",
356,Meemure Lake Area,Lake / Nature Site,Central Province – Kandy District,"7.5000° N, 80.8333° E","Meemure Lake Area is a scenic natural destination located near the remote village of Meemure in the Knuckles Mountain Range. Surrounded by mountains, forests, and traditional villages, it is known for its pristine landscapes and peaceful environment.","Meemure has preserved traditional lifestyles and agricultural practices for generations due to its isolated location among the mountains. The surrounding lake areas, streams, and forests have supported local communities through farming and natural resources. Today, Meemure is recognized as an important eco-tourism destination showcasing Sri Lanka's rural heritage and natural beauty.",Natural village landscape,Ancient traditional settlement,Scenic village ecosystem surrounded by Knuckles mountains.,"Lake, village culture, hiking, forests, photography.",Daylight hours,Full day,Free,January–April; morning,"Meemure Village, Knuckles Range, Corbett’s Gap, Hunnasgiriya, Sembuwatta","Meemure eco lodges, Riverston lodges, Kandy hotels, Matale hotels, homestays","Village restaurants, eco lodge dining, local cafes, Matale restaurants, food stalls",
357,Huluganga Falls,Waterfall,Central Province – Kandy District,"7.3500° N, 80.7500° E","Huluganga Falls is a beautiful waterfall located near Kandy, formed by the Hulu Ganga River flowing through the central highlands. It is known for its scenic surroundings, flowing water, and lush greenery.","Huluganga Falls has long been part of the traditional landscapes of the central highlands, where rivers and forests supported local settlements and agriculture. The waterfall gained popularity as a natural attraction with the growth of domestic tourism in the region. Today, it remains a popular location for visitors seeking nature experiences near Kandy.",Natural waterfall,Natural formation,Scenic waterfall attraction in the hill country.,"Waterfall, river scenery, photography, nature walks.",Daylight hours,1–2 hours,Free,January–April; morning,"Sembuwatta Lake, Knuckles, Matale, Riverston, Hunnasgiriya","Amaya Hills, Riverston lodges, Kandy hotels, Matale hotels, eco resorts","Matale restaurants, Kandy restaurants, local cafes, hotel restaurants, village eateries",
